ICD10	PMSI	diseaseName	Wikidata	UMLS	synonyms	abbreviation
Q26.8	PMSI:DIAGNOSTIC-ICD10CHU|Q26.8	Autres malformations congénitales des grandes veines	Q2557206	n/a	n/a	n/a
Q26.9	PMSI:DIAGNOSTIC-ICD10CHU|Q26.9	Malformation congénitale d'une grande veine, sans précision	n/a	n/a	n/a	n/a
Q27.0	PMSI:DIAGNOSTIC-ICD10CHU|Q27.0	Absence congénitale et hypoplasie de l'artère ombilicale	n/a	n/a	n/a	n/a
Q27.1	PMSI:DIAGNOSTIC-ICD10CHU|Q27.1	Sténose congénitale de l'artère rénale	n/a	n/a	n/a	n/a
Q27.2	PMSI:DIAGNOSTIC-ICD10CHU|Q27.2	Autres malformations congénitales de l'artère rénale	n/a	n/a	n/a	n/a
Q27.3	PMSI:DIAGNOSTIC-ICD10CHU|Q27.3	Malformation artérioveineuse périphérique	n/a	n/a	n/a	n/a
Q27.9	PMSI:DIAGNOSTIC-ICD10CHU|Q27.9	Malformation congénitale de l'appareil circulatoire périphérique, sans précision	n/a	n/a	n/a	n/a
Q28.0	PMSI:DIAGNOSTIC-ICD10CHU|Q28.0	Malformation artérioveineuse de vaisseaux précérébraux	n/a	n/a	n/a	n/a
Q28.1	PMSI:DIAGNOSTIC-ICD10CHU|Q28.1	Autres malformations des vaisseaux précérébraux	n/a	n/a	n/a	n/a
Q28.3	PMSI:DIAGNOSTIC-ICD10CHU|Q28.3	Autres malformations des vaisseaux cérébraux	Q28020305	n/a	n/a	n/a
Q28.8	PMSI:DIAGNOSTIC-ICD10CHU|Q28.8	Autres malformations congénitales précisées de l'appareil circulatoire	Q3377927	n/a	n/a	n/a
Q28.9	PMSI:DIAGNOSTIC-ICD10CHU|Q28.9	Malformation congénitale de l'appareil circulatoire, sans précision	n/a	n/a	n/a	n/a
Q30.0	PMSI:DIAGNOSTIC-ICD10CHU|Q30.0	Atrésie des choanes	Q662185	n/a	n/a	n/a
Q30.1	PMSI:DIAGNOSTIC-ICD10CHU|Q30.1	Agénésie et hypoplasie du nez	n/a	n/a	n/a	n/a
Q30.2	PMSI:DIAGNOSTIC-ICD10CHU|Q30.2	Fissure, échancrure et fente nasales congénitales	n/a	n/a	n/a	n/a
Q30.3	PMSI:DIAGNOSTIC-ICD10CHU|Q30.3	Perforation congénitale de la cloison nasale	n/a	n/a	n/a	n/a
Q30.8	PMSI:DIAGNOSTIC-ICD10CHU|Q30.8	Autres malformations congénitales du nez	n/a	n/a	n/a	n/a
Q30.9	PMSI:DIAGNOSTIC-ICD10CHU|Q30.9	Malformation congénitale du nez, sans précision	n/a	n/a	n/a	n/a
Q31.3	PMSI:DIAGNOSTIC-ICD10CHU|Q31.3	Laryngocèle	n/a	n/a	n/a	n/a
Q31.5	PMSI:DIAGNOSTIC-ICD10CHU|Q31.5	Laryngomalacie congénitale	n/a	n/a	n/a	n/a
Q31.8	PMSI:DIAGNOSTIC-ICD10CHU|Q31.8	Autres malformations congénitales du larynx	n/a	n/a	n/a	n/a
Q31.9	PMSI:DIAGNOSTIC-ICD10CHU|Q31.9	Malformation congénitale du larynx, sans précision	n/a	n/a	n/a	n/a
Q32.0	PMSI:DIAGNOSTIC-ICD10CHU|Q32.0	Trachéomalacie congénitale	Q910455	n/a	n/a	n/a
Q32.2	PMSI:DIAGNOSTIC-ICD10CHU|Q32.2	Bronchomalacie congénitale	n/a	n/a	n/a	n/a
Q32.3	PMSI:DIAGNOSTIC-ICD10CHU|Q32.3	Sténose bronchique congénitale	n/a	n/a	n/a	n/a
Q32.4	PMSI:DIAGNOSTIC-ICD10CHU|Q32.4	Autres malformations congénitales des bronches	n/a	n/a	n/a	n/a
Q33.0	PMSI:DIAGNOSTIC-ICD10CHU|Q33.0	Poumon kystique congénital	Q246040	n/a	n/a	n/a
Q33.3	PMSI:DIAGNOSTIC-ICD10CHU|Q33.3	Agénésie du poumon	n/a	n/a	n/a	n/a
Q33.4	PMSI:DIAGNOSTIC-ICD10CHU|Q33.4	Bronchectasie congénitale	n/a	n/a	n/a	n/a
Q33.6	PMSI:DIAGNOSTIC-ICD10CHU|Q33.6	Hypoplasie et dysplasie du poumon	n/a	n/a	n/a	n/a
Q33.8	PMSI:DIAGNOSTIC-ICD10CHU|Q33.8	Autres malformations congénitales du poumon	n/a	n/a	n/a	n/a
Q33.9	PMSI:DIAGNOSTIC-ICD10CHU|Q33.9	Malformation congénitale du poumon, sans précision	n/a	n/a	n/a	n/a
Q34.1	PMSI:DIAGNOSTIC-ICD10CHU|Q34.1	Kyste congénital du médiastin	n/a	n/a	n/a	n/a
Q34.9	PMSI:DIAGNOSTIC-ICD10CHU|Q34.9	Malformation congénitale de l'appareil respiratoire, sans précision	n/a	n/a	n/a	n/a
Q35.1	PMSI:DIAGNOSTIC-ICD10CHU|Q35.1	Fente de la voûte du palais	Q27677677	n/a	n/a	n/a
Q35.3	PMSI:DIAGNOSTIC-ICD10CHU|Q35.3	Fente du voile du palais	Q27677677	n/a	n/a	n/a
Q35.5	PMSI:DIAGNOSTIC-ICD10CHU|Q35.5	Fente de la voûte et du voile du palais	Q27677677	n/a	n/a	n/a
Q35.7	PMSI:DIAGNOSTIC-ICD10CHU|Q35.7	Fente de la luette	Q27677677	n/a	n/a	n/a
Q35.9	PMSI:DIAGNOSTIC-ICD10CHU|Q35.9	Fente du palais, sans précision	Q27677677	n/a	n/a	n/a
Q36.0	PMSI:DIAGNOSTIC-ICD10CHU|Q36.0	Fente labiale bilatérale	n/a	n/a	n/a	n/a
Q36.1	PMSI:DIAGNOSTIC-ICD10CHU|Q36.1	Fente labiale médiane	n/a	n/a	n/a	n/a
Q36.9	PMSI:DIAGNOSTIC-ICD10CHU|Q36.9	Fente labiale unilatérale	Q12050056	n/a	n/a	n/a
Q37.0	PMSI:DIAGNOSTIC-ICD10CHU|Q37.0	Fente labiale bilatérale avec fente de la voûte du palais	n/a	n/a	n/a	n/a
Q37.1	PMSI:DIAGNOSTIC-ICD10CHU|Q37.1	Fente labiale unilatérale avec fente de la voûte du palais	n/a	n/a	n/a	n/a
Q37.2	PMSI:DIAGNOSTIC-ICD10CHU|Q37.2	Fente labiale bilatérale avec fente du voile du palais	n/a	n/a	n/a	n/a
Q37.3	PMSI:DIAGNOSTIC-ICD10CHU|Q37.3	Fente labiale unilatérale avec fente du voile du palais	n/a	n/a	n/a	n/a
Q37.4	PMSI:DIAGNOSTIC-ICD10CHU|Q37.4	Fente labiale bilatérale avec fente du voile et de la voûte du palais	n/a	n/a	n/a	n/a
Q37.5	PMSI:DIAGNOSTIC-ICD10CHU|Q37.5	Fente labiale unilatérale avec fente du voile et de la voûte du palais	n/a	n/a	n/a	n/a
Q37.8	PMSI:DIAGNOSTIC-ICD10CHU|Q37.8	Fente labiale bilatérale avec fente palatine, sans précision	n/a	n/a	n/a	n/a
Q37.9	PMSI:DIAGNOSTIC-ICD10CHU|Q37.9	Fente labiale unilatérale avec fente palatine, sans précision	n/a	n/a	n/a	n/a
Q38.0	PMSI:DIAGNOSTIC-ICD10CHU|Q38.0	MALFORMATIONS CONGENITALES DES LEVRES, NON CLASSEES AILLEURS	Q2033532	n/a	n/a	n/a
Q38.1	PMSI:DIAGNOSTIC-ICD10CHU|Q38.1	Ankyloglossie	Q557552	n/a	n/a	n/a
Q38.2	PMSI:DIAGNOSTIC-ICD10CHU|Q38.2	Macroglossie	n/a	n/a	n/a	n/a
Q38.4	PMSI:DIAGNOSTIC-ICD10CHU|Q38.4	Malformations congénitales des glandes et des canaux salivaires	n/a	n/a	n/a	n/a
Q38.5	PMSI:DIAGNOSTIC-ICD10CHU|Q38.5	Malformations congénitales du palais, non classées ailleurs	n/a	n/a	n/a	n/a
Q38.7	PMSI:DIAGNOSTIC-ICD10CHU|Q38.7	Poche pharyngée	n/a	n/a	n/a	n/a
Q38.8	PMSI:DIAGNOSTIC-ICD10CHU|Q38.8	Autres malformations congénitales du pharynx	n/a	n/a	n/a	n/a
Q39.0	PMSI:DIAGNOSTIC-ICD10CHU|Q39.0	Atrésie de l'oesophage, sans fistule	Q298233	n/a	n/a	n/a
Q39.3	PMSI:DIAGNOSTIC-ICD10CHU|Q39.3	Sténose et rétrécissement congénitaux de l'oesophage	n/a	n/a	n/a	n/a
Q39.5	PMSI:DIAGNOSTIC-ICD10CHU|Q39.5	Dilatation congénitale de l'oesophage	n/a	n/a	n/a	n/a
Q39.6	PMSI:DIAGNOSTIC-ICD10CHU|Q39.6	Diverticule congénital de l'oesophage	n/a	n/a	n/a	n/a
T65.8	PMSI:DIAGNOSTIC-ICD10CHU|T65.8	Effets toxiques d'autres substances précisées	n/a	n/a	n/a	n/a
T65.9	PMSI:DIAGNOSTIC-ICD10CHU|T65.9	Effet toxique d'une substance, sans précision	n/a	n/a	n/a	n/a
T66	PMSI:DIAGNOSTIC-ICD10CHU|T66	Effets de rayonnements, sans précision	n/a	n/a	n/a	n/a
T67.0	PMSI:DIAGNOSTIC-ICD10CHU|T67.0	Coup de chaleur et Insolation	Q1191065	n/a	n/a	n/a
T67.1	PMSI:DIAGNOSTIC-ICD10CHU|T67.1	Syncope due à la chaleur	n/a	n/a	n/a	n/a
T67.2	PMSI:DIAGNOSTIC-ICD10CHU|T67.2	Crampes dues à la chaleur	n/a	n/a	n/a	n/a
T67.5	PMSI:DIAGNOSTIC-ICD10CHU|T67.5	Epuisement dû à la chaleur, sans précision	n/a	n/a	n/a	n/a
T67.6	PMSI:DIAGNOSTIC-ICD10CHU|T67.6	Fatigue transitoire due à la chaleur	n/a	n/a	n/a	n/a
T67.7	PMSI:DIAGNOSTIC-ICD10CHU|T67.7	Oedème dû à la chaleur	n/a	n/a	n/a	n/a
T67.8	PMSI:DIAGNOSTIC-ICD10CHU|T67.8	Autres effets de la chaleur et de la lumière	n/a	n/a	n/a	n/a
T67.9	PMSI:DIAGNOSTIC-ICD10CHU|T67.9	Effet de la chaleur et de la lumière, sans précision	n/a	n/a	n/a	n/a
T68.0	PMSI:DIAGNOSTIC-ICD10CHU|T68.0	n/a	n/a	n/a	n/a	n/a
T68.8	PMSI:DIAGNOSTIC-ICD10CHU|T68.8	n/a	n/a	n/a	n/a	n/a
T69.8	PMSI:DIAGNOSTIC-ICD10CHU|T69.8	Autres effets précisés d'une baisse de la température	n/a	n/a	n/a	n/a
T69.9	PMSI:DIAGNOSTIC-ICD10CHU|T69.9	Effet d'une baisse de la température, sans précision	n/a	n/a	n/a	n/a
T70.0	PMSI:DIAGNOSTIC-ICD10CHU|T70.0	Barotraumatisme de l'oreille	n/a	n/a	n/a	n/a
T70.1	PMSI:DIAGNOSTIC-ICD10CHU|T70.1	Barotraumatisme des sinus	n/a	n/a	n/a	n/a
T70.2	PMSI:DIAGNOSTIC-ICD10CHU|T70.2	Effets de l'altitude, autres et non précisés	n/a	n/a	n/a	['OPHA']
T70.3	PMSI:DIAGNOSTIC-ICD10CHU|T70.3	Maladie des caissons [maladie de la décompression]	Q460591	n/a	n/a	n/a
T70.4	PMSI:DIAGNOSTIC-ICD10CHU|T70.4	Effets des fluides à haute pression	n/a	n/a	n/a	n/a
T70.8	PMSI:DIAGNOSTIC-ICD10CHU|T70.8	Autres effets de la pression atmosphérique et de la pression de l'eau	n/a	n/a	n/a	n/a
T70.9	PMSI:DIAGNOSTIC-ICD10CHU|T70.9	Barotraumatisme, SP	n/a	n/a	n/a	n/a
T73.0	PMSI:DIAGNOSTIC-ICD10CHU|T73.0	Effets de la faim	n/a	n/a	n/a	n/a
T73.1	PMSI:DIAGNOSTIC-ICD10CHU|T73.1	Effets de la soif	n/a	n/a	n/a	n/a
T73.3	PMSI:DIAGNOSTIC-ICD10CHU|T73.3	Epuisement dû à un effort intensif	n/a	n/a	n/a	n/a
T73.8	PMSI:DIAGNOSTIC-ICD10CHU|T73.8	Autres effets dus à une privation	n/a	n/a	n/a	n/a
T74.0	PMSI:DIAGNOSTIC-ICD10CHU|T74.0	Délaissement et abandon	n/a	n/a	n/a	n/a
T74.1	PMSI:DIAGNOSTIC-ICD10CHU|T74.1	Sévices physiques	n/a	n/a	n/a	['SBS']
T74.2	PMSI:DIAGNOSTIC-ICD10CHU|T74.2	Sévices sexuels	n/a	n/a	n/a	n/a
T74.3	PMSI:DIAGNOSTIC-ICD10CHU|T74.3	Sévices psychologiques	n/a	n/a	n/a	n/a
T74.8	PMSI:DIAGNOSTIC-ICD10CHU|T74.8	Autres syndromes dus à de mauvais traitements	n/a	n/a	n/a	n/a
T74.9	PMSI:DIAGNOSTIC-ICD10CHU|T74.9	Syndrome dû à de mauvais traitements, SAI	n/a	n/a	n/a	n/a
T75.0	PMSI:DIAGNOSTIC-ICD10CHU|T75.0	Effets de la foudre	n/a	n/a	n/a	n/a
T75.1	PMSI:DIAGNOSTIC-ICD10CHU|T75.1	Noyade et submersion non mortelle	n/a	n/a	n/a	n/a
T75.2	PMSI:DIAGNOSTIC-ICD10CHU|T75.2	Effets des vibrations	n/a	n/a	n/a	n/a
T75.3	PMSI:DIAGNOSTIC-ICD10CHU|T75.3	Mal des transports	Q309067	n/a	n/a	n/a
T75.4	PMSI:DIAGNOSTIC-ICD10CHU|T75.4	Effets du courant électrique	n/a	n/a	n/a	n/a
T75.8	PMSI:DIAGNOSTIC-ICD10CHU|T75.8	Autres effets précisés d'autres causes externes	n/a	n/a	n/a	n/a
T78.1	PMSI:DIAGNOSTIC-ICD10CHU|T78.1	Autres réactions d'intolérance alimentaire, NCA	n/a	n/a	n/a	n/a
T78.8	PMSI:DIAGNOSTIC-ICD10CHU|T78.8	Autres effets indésirables, NCA	n/a	n/a	n/a	n/a
T78.9	PMSI:DIAGNOSTIC-ICD10CHU|T78.9	Effet indésirable, sans précision	n/a	n/a	n/a	n/a
T79.0	PMSI:DIAGNOSTIC-ICD10CHU|T79.0	Embolie gazeuse (traumatique)	Q1367304	n/a	n/a	n/a
T79.1	PMSI:DIAGNOSTIC-ICD10CHU|T79.1	Embolie graisseuse (traumatique)	n/a	n/a	n/a	n/a
T79.3	PMSI:DIAGNOSTIC-ICD10CHU|T79.3	Infection post-traumatique d'une plaie, non classée ailleurs	n/a	n/a	n/a	n/a
T79.4	PMSI:DIAGNOSTIC-ICD10CHU|T79.4	Choc traumatique	n/a	n/a	n/a	n/a
T79.7	PMSI:DIAGNOSTIC-ICD10CHU|T79.7	Emphysème sous-cutané d'origine traumatique	n/a	n/a	n/a	n/a
T79.8	PMSI:DIAGNOSTIC-ICD10CHU|T79.8	Autres complications précoces d'un traumatisme	n/a	n/a	n/a	n/a
T79.9	PMSI:DIAGNOSTIC-ICD10CHU|T79.9	Complication précoce d'un traumatisme, SAI	n/a	n/a	n/a	n/a
T80.0	PMSI:DIAGNOSTIC-ICD10CHU|T80.0	Embolie gazeuse consécutive à une injection thérapeutique, une perfusion et une transfusion	n/a	n/a	n/a	n/a
T80.2	PMSI:DIAGNOSTIC-ICD10CHU|T80.2	Infections consécutives à une injection thérapeutique, une perfusion et une transfusion	n/a	n/a	n/a	n/a
T80.6	PMSI:DIAGNOSTIC-ICD10CHU|T80.6	Autres réactions sériques	Q33121	n/a	n/a	n/a
T80.8	PMSI:DIAGNOSTIC-ICD10CHU|T80.8	Autres complications consécutives à une injection thérapeutique, une perfusion et une transfusion	Q7834208	n/a	n/a	n/a
T80.9	PMSI:DIAGNOSTIC-ICD10CHU|T80.9	Complication consécutive à une injection thérapeutique, une perfusion et une transfusion, SAI	n/a	n/a	n/a	n/a
T81.0	PMSI:DIAGNOSTIC-ICD10CHU|T81.0	Hématome compliquant un acte Diag ou thérapeutique	n/a	n/a	n/a	n/a
T81.2	PMSI:DIAGNOSTIC-ICD10CHU|T81.2	Perforation et déchirure accidentelles au cours d'un acte, NCA	n/a	n/a	n/a	n/a
T81.3	PMSI:DIAGNOSTIC-ICD10CHU|T81.3	Rupture d'une plaie opératoire	n/a	n/a	n/a	n/a
T81.30	PMSI:DIAGNOSTIC-ICD10CHU|T81.30	Eviscération post opératoire	n/a	n/a	n/a	n/a
T81.38	PMSI:DIAGNOSTIC-ICD10CHU|T81.38	Désunions d'une plaie opératoire non classées ailleurs	n/a	n/a	n/a	n/a
T81.4	PMSI:DIAGNOSTIC-ICD10CHU|T81.4	Infection après acte diagnostic ou thérapeutique	n/a	n/a	n/a	n/a
T81.5	PMSI:DIAGNOSTIC-ICD10CHU|T81.5	Corps étranger laissé dans cavité corporelle ou plaie opératoire	n/a	n/a	n/a	n/a
T81.6	PMSI:DIAGNOSTIC-ICD10CHU|T81.6	Réaction aigüe à une substance étrangère laissée accidentellement au cours d'un acte	n/a	n/a	n/a	n/a
T81.7	PMSI:DIAGNOSTIC-ICD10CHU|T81.7	Complications vasculaires consécutives à un acte à visée diagnostique et thérapeutique, NCA	n/a	n/a	n/a	n/a
T81.8	PMSI:DIAGNOSTIC-ICD10CHU|T81.8	Autres complications après acte pour Dg ou thérapeutique	n/a	n/a	n/a	n/a
T81.9	PMSI:DIAGNOSTIC-ICD10CHU|T81.9	Complication non précisée d'un acte à visée diagnostique et thérapeutique	n/a	n/a	n/a	n/a
T82.1	PMSI:DIAGNOSTIC-ICD10CHU|T82.1	Complication mécanique appareil cardiaque électronique	n/a	n/a	n/a	n/a
T82.2	PMSI:DIAGNOSTIC-ICD10CHU|T82.2	Complication mécanique d'un pontage coronarien et d'une greffe valvulaire cardiaque	n/a	n/a	n/a	n/a
T82.3	PMSI:DIAGNOSTIC-ICD10CHU|T82.3	Complication mécanique d'autres greffes vasculaires	n/a	n/a	n/a	n/a
T82.4	PMSI:DIAGNOSTIC-ICD10CHU|T82.4	Complication mécanique d'un cathéter vasculaire de dialyse	n/a	n/a	n/a	n/a
T82.5	PMSI:DIAGNOSTIC-ICD10CHU|T82.5	Complication mécanique d'autres prothèses et implants cardiaques et vasculaires	n/a	n/a	n/a	n/a
T82.7	PMSI:DIAGNOSTIC-ICD10CHU|T82.7	Infection  prothése vasculaire et cardiaque	n/a	n/a	n/a	n/a
T82.8	PMSI:DIAGNOSTIC-ICD10CHU|T82.8	Autres complications précisées de prothèses, implants et greffes cardiaques et vasculaires	n/a	n/a	n/a	n/a
T82.9	PMSI:DIAGNOSTIC-ICD10CHU|T82.9	Complication d'une prothèse, d'un implant et d'une greffe cardiaques et vasculaires, SAI	n/a	n/a	n/a	n/a
T83.0	PMSI:DIAGNOSTIC-ICD10CHU|T83.0	Complication mécanique Sonde Urinaire A Demeure	n/a	n/a	n/a	n/a
T83.1	PMSI:DIAGNOSTIC-ICD10CHU|T83.1	Complication mécanique d'autres prothèses et implants urinaires	n/a	n/a	n/a	n/a
T83.2	PMSI:DIAGNOSTIC-ICD10CHU|T83.2	Complication mécanique d'une greffe d'organe urinaire	n/a	n/a	n/a	n/a
T83.3	PMSI:DIAGNOSTIC-ICD10CHU|T83.3	Complication mécanique d'un DIU	n/a	n/a	n/a	n/a
T83.5	PMSI:DIAGNOSTIC-ICD10CHU|T83.5	Complications infectieuse Sonde Urinaire A Demeure	n/a	n/a	n/a	n/a
T83.8	PMSI:DIAGNOSTIC-ICD10CHU|T83.8	Autres complications de prothèses, implants et greffes de l'appareil génito-urinaire	n/a	n/a	n/a	n/a
T83.9	PMSI:DIAGNOSTIC-ICD10CHU|T83.9	Complication d'une prothèse, d'un implant et d'une greffe de l'appareil génito-urinaire, SAI	n/a	n/a	n/a	n/a
T84.0	PMSI:DIAGNOSTIC-ICD10CHU|T84.0	Complication mécanique d'une prothèse articulaire interne	n/a	n/a	n/a	n/a
T84.1	PMSI:DIAGNOSTIC-ICD10CHU|T84.1	Complication mécanique d'une prothèse interne de fixation d'os d'un membre	n/a	n/a	n/a	n/a
T84.2	PMSI:DIAGNOSTIC-ICD10CHU|T84.2	Complication mécanique d'une prothèse interne de fixation d'autres os	n/a	n/a	n/a	n/a
T84.3	PMSI:DIAGNOSTIC-ICD10CHU|T84.3	Complication mécanique d'autres prothèses, implants et greffes des os	n/a	n/a	n/a	n/a
T84.5	PMSI:DIAGNOSTIC-ICD10CHU|T84.5	Infection et réaction inflam dues à une prothèse articulaire interne	n/a	n/a	n/a	n/a
T84.6	PMSI:DIAGNOSTIC-ICD10CHU|T84.6	Infection et réaction inflam dues à un appareil de fixation interne [toute localisation]	n/a	n/a	n/a	n/a
T84.7	PMSI:DIAGNOSTIC-ICD10CHU|T84.7	Infection et réaction inflam dues à autres prothèses, implants et greffes orthopédiques internes	n/a	n/a	n/a	n/a
T84.8	PMSI:DIAGNOSTIC-ICD10CHU|T84.8	Autres complications de prothèses, implants et greffes orthopédiques internes	n/a	n/a	n/a	n/a
T84.9	PMSI:DIAGNOSTIC-ICD10CHU|T84.9	Complication d'une prothèse, d'un implant et d'une greffe orthopédiques internes, SAI	n/a	n/a	n/a	n/a
T85.1	PMSI:DIAGNOSTIC-ICD10CHU|T85.1	Complication mécanique de l'implantation d'un stimulateur électronique du système nerveux	n/a	n/a	n/a	n/a
T85.2	PMSI:DIAGNOSTIC-ICD10CHU|T85.2	Complication mécanique d'une lentille intra-oculaire	n/a	n/a	n/a	n/a
T85.3	PMSI:DIAGNOSTIC-ICD10CHU|T85.3	Complication mécanique d'autres prothèses, implants et greffes oculaires	n/a	n/a	n/a	n/a
R89.8	PMSI:DIAGNOSTIC-ICD10CHU|R89.8	Autres résultats anormaux dans les prélèvements - Autres organes, appareils et tissus	n/a	n/a	n/a	n/a
R89.9	PMSI:DIAGNOSTIC-ICD10CHU|R89.9	Résultat anormal, sans précision, dans les prélèvements - Autres organes, appareils et tissus	n/a	n/a	n/a	n/a
R90.0	PMSI:DIAGNOSTIC-ICD10CHU|R90.0	Image intracrânienne anormale	n/a	n/a	n/a	n/a
R90.8	PMSI:DIAGNOSTIC-ICD10CHU|R90.8	Autres résultats anormaux d'imagerie diagnostique du système nerveux central	n/a	n/a	n/a	n/a
R91	PMSI:DIAGNOSTIC-ICD10CHU|R91	Résultats anormaux d'imagerie diagnostique du poumon	n/a	n/a	n/a	n/a
R93.1	PMSI:DIAGNOSTIC-ICD10CHU|R93.1	Résultats anormaux d'imagerie diagnostique du coeur et de la circulation coronaire	n/a	n/a	n/a	n/a
R93.2	PMSI:DIAGNOSTIC-ICD10CHU|R93.2	Résultats anormaux d'imagerie diagnostique du foie et des voies biliaires	n/a	n/a	n/a	n/a
R93.3	PMSI:DIAGNOSTIC-ICD10CHU|R93.3	Résultats anormaux d'imagerie diagnostique d'autres parties des voies digestives	n/a	n/a	n/a	n/a
R93.4	PMSI:DIAGNOSTIC-ICD10CHU|R93.4	Résultats anormaux d'imagerie diagnostique de l'appareil urinaire	n/a	n/a	n/a	n/a
R93.5	PMSI:DIAGNOSTIC-ICD10CHU|R93.5	Résultats anormaux imagerie diagnostique autres parties abdomen et espace rétropéritonéal	n/a	n/a	n/a	n/a
R93.6	PMSI:DIAGNOSTIC-ICD10CHU|R93.6	Résultats anormaux d'imagerie diagnostique des membres	n/a	n/a	n/a	n/a
R93.7	PMSI:DIAGNOSTIC-ICD10CHU|R93.7	Résultats anormaux d'imagerie diagnostique d'autres parties du système ostéo-musculaire	n/a	n/a	n/a	n/a
R93.8	PMSI:DIAGNOSTIC-ICD10CHU|R93.8	Résultats anormaux d'imagerie diagnostique d'autres parties du corps précisées	n/a	n/a	n/a	n/a
R94.0	PMSI:DIAGNOSTIC-ICD10CHU|R94.0	Résultats anormaux d'explorations fonctionnelles du système nerveux central	n/a	n/a	n/a	n/a
R94.4	PMSI:DIAGNOSTIC-ICD10CHU|R94.4	Résultats anormaux d'explorations fonctionnelles rénales	n/a	n/a	n/a	n/a
R94.5	PMSI:DIAGNOSTIC-ICD10CHU|R94.5	Résultats anormaux d'explorations fonctionnelles hépatiques	n/a	n/a	n/a	n/a
R94.6	PMSI:DIAGNOSTIC-ICD10CHU|R94.6	Résultats anormaux d'explorations fonctionnelles thyroïdiennes	n/a	n/a	n/a	n/a
R94.7	PMSI:DIAGNOSTIC-ICD10CHU|R94.7	Résultats anormaux d'autres explorations fonctionnelles endocriniennes	n/a	n/a	n/a	n/a
R94.8	PMSI:DIAGNOSTIC-ICD10CHU|R94.8	Résultats anormaux d'explorations fonctionnelles d'autres organes et appareils	n/a	n/a	n/a	n/a
R95.0	PMSI:DIAGNOSTIC-ICD10CHU|R95.0	Syndrome de la mort subite du nourrisson avec mention d'autopsie	n/a	n/a	n/a	n/a
R95.9	PMSI:DIAGNOSTIC-ICD10CHU|R95.9	Syndrome de la mort subite du nourrisson sans mention d'autopsie	n/a	n/a	n/a	n/a
R96.0	PMSI:DIAGNOSTIC-ICD10CHU|R96.0	Mort instantanée	n/a	n/a	n/a	n/a
R96.1	PMSI:DIAGNOSTIC-ICD10CHU|R96.1	Décès survenant moins de 24 heures après le début des symptômes, sans autre explication	n/a	n/a	n/a	n/a
R98	PMSI:DIAGNOSTIC-ICD10CHU|R98	Décès sans témoin	n/a	n/a	n/a	n/a
R99	PMSI:DIAGNOSTIC-ICD10CHU|R99	Décès de cause inconnue, SP	n/a	n/a	n/a	n/a
S00.0	PMSI:DIAGNOSTIC-ICD10CHU|S00.0	Lésion traumatique superficielle cuir chevelu	n/a	n/a	n/a	n/a
S00.1	PMSI:DIAGNOSTIC-ICD10CHU|S00.1	Contusion de la paupière et de la région péri-oculaire	n/a	n/a	n/a	n/a
S00.2	PMSI:DIAGNOSTIC-ICD10CHU|S00.2	Autres lésions traumatiques superficielles de la paupière et de la région péri-oculaire	n/a	n/a	n/a	n/a
S00.3	PMSI:DIAGNOSTIC-ICD10CHU|S00.3	Lésion traumatique superficielle du nez	n/a	n/a	n/a	n/a
S00.4	PMSI:DIAGNOSTIC-ICD10CHU|S00.4	Lésion traumatique superficielle de l'oreille	n/a	n/a	n/a	n/a
S00.5	PMSI:DIAGNOSTIC-ICD10CHU|S00.5	Lésion traumatique superficielle de la lèvre et de la cavité buccale	n/a	n/a	n/a	n/a
S00.7	PMSI:DIAGNOSTIC-ICD10CHU|S00.7	Lésion traumatique superficielle multiples tête	n/a	n/a	n/a	n/a
S00.8	PMSI:DIAGNOSTIC-ICD10CHU|S00.8	Lésion traumatique superficielle autre partie tête	n/a	n/a	n/a	n/a
S00.9	PMSI:DIAGNOSTIC-ICD10CHU|S00.9	Lésion traumatique superficielle de la tête, SP	n/a	n/a	n/a	n/a
S01.2	PMSI:DIAGNOSTIC-ICD10CHU|S01.2	Plaie du nez	n/a	n/a	n/a	n/a
S01.3	PMSI:DIAGNOSTIC-ICD10CHU|S01.3	Plaie de l'oreille	n/a	n/a	n/a	n/a
S01.4	PMSI:DIAGNOSTIC-ICD10CHU|S01.4	Plaie de la joue/tempe/pomette	n/a	n/a	n/a	n/a
S01.5	PMSI:DIAGNOSTIC-ICD10CHU|S01.5	Plaie de la lèvre et de la cavité buccale	n/a	n/a	n/a	n/a
S01.7	PMSI:DIAGNOSTIC-ICD10CHU|S01.7	Plaies multiples  tête	n/a	n/a	n/a	n/a
S01.8	PMSI:DIAGNOSTIC-ICD10CHU|S01.8	Plaie autres parties  tête	n/a	n/a	n/a	n/a
S01.9	PMSI:DIAGNOSTIC-ICD10CHU|S01.9	Plaie ouverte de la tête, partie non précisée	n/a	n/a	n/a	n/a
S02.01	PMSI:DIAGNOSTIC-ICD10CHU|S02.01	Fracture ouverte de la voûte du crâne	n/a	n/a	n/a	n/a
S02.10	PMSI:DIAGNOSTIC-ICD10CHU|S02.10	Fracture base crâne /fermé	n/a	n/a	n/a	n/a
S02.11	PMSI:DIAGNOSTIC-ICD10CHU|S02.11	Fracture base crâne /ouvert	n/a	n/a	n/a	n/a
S02.20	PMSI:DIAGNOSTIC-ICD10CHU|S02.20	Fracture fermée des os du nez	n/a	n/a	n/a	n/a
